project_id,reason,evidence
residential_multicard_16362010710000,Unreliable combined record: eighteen card areas repeat the two nine-home rows already separately assessed in 2008; conflicting year and parcel assignment cannot establish additional homes,Assessor 2008 individual PINs 1636201053-1636201070 and parent 2009-2012 cards; retain individual years and areas
residential_multicard_17293090360000,Unresolved combined development record is ineligible; retain independently measured individual homes including the five 2022 Broad Street homes,User decision 2026-09-08; individual PINs 1729309055-1729309067; older individual 2006/2007 years not overwritten
residential_multicard_17293090540000,Unresolved combined development record is ineligible; retain independently measured individual homes including the five 2022 Broad Street homes,User decision 2026-09-08; individual PINs 1729309055-1729309067; older individual 2006/2007 years not overwritten
residential_multicard_17293090680000,Unresolved combined development record is ineligible; retain independently measured individual homes including the five 2022 Broad Street homes,User decision 2026-09-08; individual PINs 1729309055-1729309067; older individual 2006/2007 years not overwritten
residential_multicard_20024050500000,Incomplete earlier development record; 2017 assessment lists ten townhouse cards on the full site containing twenty separately assessed homes; retain the twenty individual homes once,2016 historical parcel object 1111675 contains all twenty successor PINs 2002405100-2002405119; four five-unit permits; user approved twenty individual homes with 2017 year
residential_tieback_13124110110000,Unreliable old combined record; retain independently measured individual homes; complete successor coverage is not certified,Historical map lacks original parcel 1312411011; combined record cannot establish additional construction; user approval 2026-09-08
residential_tieback_13364220230000,Old combined townhouse record excluded; retain eight individual Campbell townhomes with approved 2007 year and private lots,Two four-townhome permits 100085992/100085993; eight individual PINs 1336422050-2057; user approval 2026-09-08
residential_tieback_14193070150000,Ineligible for density pending independent new-dwelling identity and measurement,Correct new-house permit 100550250 and addition 100464213; repeated 2442 sqft is not independently verified; prior Orchard permit citation withdrawn; user approval 2026-09-08
residential_tieback_17344230080000,Ineligible for density pending physical home count; equal card areas do not identify duplicates,Three main-parcel cards and one related-parcel card; connected footprint cannot establish two versus three homes; user approval 2026-09-08
residential_tieback_20213050090000,Ineligible for density pending reliable source-reported site land area; retain evidence of four buildings and twelve apartments,User clarification 2026-09-08 forbids analyst-calculated polygon land areas; Assessor reports 24613 sqft but conflicts with historical parcel coverage; no calculated replacement adopted
residential_14073210420000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_14073210430000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_14183110440000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_17083340580000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_17093140230000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_20032000620000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_20032250580000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_20033030390000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_25031190320000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_16222200490000,Excluded from boundary density: no supported location; investigation closed by user,User decision 2026-09-08 following recorded parcel and address review; retain source record without guessing coordinates
residential_13154070500000,Hold out of 2006-2022 density sample: marketed as new construction in 2024,User decision 2026-09-08; Redfin 4202 N Kildare home/190081194 and Zillow 4200 N Kildare 444796470_zpid; 2022 Assessor proxy not adopted
residential_13154070510000,Hold out of 2006-2022 density sample: marketed as new construction in 2024,User decision 2026-09-08; Redfin 4202 N Kildare home/190081194 and Zillow 4200 N Kildare 444796470_zpid; 2022 Assessor proxy not adopted
residential_tieback_17324070080000,Excluded combined record without complete source-reported measurements; investigation closed by user,User decision 2026-09-08; do not reconstruct missing land or floor area; independently measured successors remain eligible for separate treatment
residential_tieback_13362320330000,Excluded combined record without complete source-reported measurements; investigation closed by user,User decision 2026-09-08; do not reconstruct missing land or floor area; independently measured successors remain eligible for separate treatment
