File: rental_rd_characteristics_panel_bw1500.parquet
Rows: 989256
Columns: 113
SHA-256 (saved bytes): 33a7db3b531144f6ce79f71005ba78f9988263d7a572f9add50198a8976c16ca
Key: rent_panel_id
Types: Stored Parquet schema.
Distinct counts: approximate (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                                        column inferred_type non_missing distinct                    min                max                 mean                   sd
                                 rent_panel_id       VARCHAR      989256  1031175                      -                  -                    -                    -
                                  analysis_key       VARCHAR      989256   394872                      -                  -                    -                    -
                                    key_source       VARCHAR      989256        1                      -                  -                    -                    -
                                   property_id       VARCHAR           0        0                      -                  -                    -                    -
                                       unit_id       VARCHAR           0        0                      -                  -                    -                    -
                                  property_key       VARCHAR      989256   173644                      -                  -                    -                    -
                                 floorplan_key       VARCHAR      989256   394872                      -                  -                    -                    -
                                  address_norm       VARCHAR      912326   137501                      -                  -                    -                    -
                               address_missing       INTEGER      989256        2                      0                  1  0.07776551266810613   0.2678023715440084
                                   month_start          DATE      989256       96                      -                  -                    -                    -
                           first_observed_date          DATE      989256     2407                      -                  -                    -                    -
                           first_observed_rent        DOUBLE      989256     9418                  490.0            16713.0   1985.3185894348883    993.1342259785088
                                   active_days       INTEGER      989256       29                      1                 31   3.4735963188497214   4.3319516282620745
                          distinct_daily_rents       INTEGER      989256       24                      1                 24   1.5490651560364557   1.6298898762166705
                               multi_rent_days        DOUBLE      989256       30                    0.0               30.0   0.6129323451159255    2.395424967381875
                         same_rent_repeat_days        DOUBLE      989256       32                    0.0               31.0   0.3199707659089255   1.8128553555478135
                                raw_rows_month        DOUBLE      989256      552                    1.0             1795.0    5.862601793671203    16.99186107759392
                                            id       VARCHAR      989256  1107278                      -                  -                    -                    -
                                    rent_price        DOUBLE      989256   250813      581.1620284598174  19336.59893573796    2273.765332665204   1120.9783308571239
                                 building_type       VARCHAR      962430       15                      -                  -                    -                    -
                           building_type_clean       VARCHAR      989256        6                      -                  -                    -                    -
                                          beds        DOUBLE      989256       10                    0.0                8.0   1.6768814139110604   1.0365441606662433
                                         baths        DOUBLE      986672       16                    0.0                8.0    1.330328467819093   0.5503071994185561
                                          sqft        DOUBLE      631713     2517                  233.0             6000.0   1000.3885593616088   442.70898955375384
                                       laundry       INTEGER      989256        2                      0                  1   0.4892211924921355  0.49988405646379164
                                           gym       INTEGER      989256        2                      0                  1   0.1891916753600686  0.39166100188667285
                                       doorman       INTEGER      989256        2                      0                  1   0.1345667855438835   0.3412604335339428
                                     furnished       INTEGER      989256        2                      0                  1  0.04178190478501015  0.20009052373509434
                                          pool       INTEGER      989256        2                      0                  1  0.16363711718705776   0.3699461439349098
                                    year_built        DOUBLE        6512       49                 1866.0             2017.0    1998.325552825553   25.912514901242435
                                available_date          DATE       31428      715                      -                  -                    -                    -
                                     file_date          DATE      989256       96                      -                  -                    -                    -
                                      latitude        DOUBLE      989256    89974          41.6579208374         42.0195051    41.89625626601286  0.06005232595044873
                                     longitude        DOUBLE      989256    74387            -87.8451499 -87.54263999999999   -87.65142190226751 0.037182064546890894
                                modal_latitude        DOUBLE      912326    51524               41.63051          42.038322    41.89508193579325 0.059775493692440944
                               modal_longitude        DOUBLE      912326    37348         -87.8461914062          -87.54264   -87.65075999266486  0.03711936731213394
flag_geometry_uses_address_location_correction       BOOLEAN      989256        2                      -                  -                    -                    -
                    flag_location_questionable       BOOLEAN      989256        2                      -                  -                    -                    -
                       location_quality_status       VARCHAR      989256        5                      -                  -                    -                    -
                               assignment_date          DATE      989256     2407                      -                  -                    -                    -
                              renthub_latitude        DOUBLE      989256   105401              41.636475          42.043514   41.896241850276134  0.06010944260684378
                             renthub_longitude        DOUBLE      989256    75578              -88.09281          -87.54263   -87.65145583893818   0.0372310356829509
                                 boundary_year       INTEGER      989256        2                   2003               2015   2012.5147383488197   4.8627809165970834
                                          ward        DOUBLE      989256       54                    1.0               50.0   26.726610705419024   17.596041586673202
                                 neighbor_ward        DOUBLE      989256       54                    1.0               50.0    25.26146821449655    17.03335992196888
                                  ward_pair_id       VARCHAR      989256      149                      -                  -                    -                    -
                                        dist_m        DOUBLE      989256   127308   0.005171906871675538 457.19856800930006   184.22604848114867    125.2029750432383
                flag_modal_sensitivity_checked       BOOLEAN      989256        2                      -                  -                    -                    -
                                    modal_ward       INTEGER      912302       45                      1                 50    26.42334007817587    17.60854071153044
                           modal_neighbor_ward       INTEGER      912302       45                      1                 50   24.999316015968397   17.051570900392797
                            modal_ward_pair_id       VARCHAR      912302      149                      -                  -                    -                    -
                                  modal_dist_m        DOUBLE      912302    99992   0.005171906871675538 2475.2666806011334    184.9777872271362   128.45057978094266
                                 modal_dist_ft        DOUBLE      912302    91165    0.01696819839788562  8120.953676512904    606.8825040260789   421.42578668287564
                 flag_modal_assignment_missing       BOOLEAN      989256        2                      -                  -                    -                    -
                       flag_modal_changes_ward       BOOLEAN      989256        2                      -                  -                    -                    -
              flag_modal_changes_neighbor_ward       BOOLEAN      989256        2                      -                  -                    -                    -
                       flag_modal_changes_pair       BOOLEAN      989256        2                      -                  -                    -                    -
                  flag_modal_dist_diff_gt100ft       BOOLEAN      989256        2                      -                  -                    -                    -
                 flag_rd_location_questionable       BOOLEAN      989256        2                      -                  -                    -                    -
                                    month_join        DOUBLE      989256      118                 2014.0 2022.9166666666667   2017.7318694558599   2.6622327347502335
                                  alderman_own       VARCHAR      989256       79                      -                  -                    -                    -
                             alderman_neighbor       VARCHAR      989256       79                      -                  -                    -                    -
                     flag_missing_own_alderman       BOOLEAN      989256        1                      -                  -                    -                    -
                flag_missing_neighbor_alderman       BOOLEAN      989256        1                      -                  -                    -                    -
                  flag_missing_alderman_lookup       BOOLEAN      989256        1                      -                  -                    -                    -
                               rent_year_month       VARCHAR      989256      118                      -                  -                    -                    -
                  rent_price_cpi_chi_all_items        DOUBLE      989256      104                225.027            278.415   238.26533413423738   14.504507013719994
                   rent_price_deflator_to_2022        DOUBLE      989256      108      0.981829582936743  1.214770153507505   1.1511829130654638  0.06428474665314328
                            rent_price_nominal        DOUBLE      989256    14287                  490.0            16713.0   1983.2915024801462    991.1243666808098
                                    segment_id       VARCHAR      989256     2756                      -                  -                    -                    -
                                segment_reason       VARCHAR      989256        1                      -                  -                    -                    -
                           analysis_segment_id       VARCHAR      989256     2756                      -                  -                    -                    -
                                 valid_segment       BOOLEAN      989256        1                      -                  -                    -                    -
                                invalid_reason       VARCHAR      989256        1                      -                  -                    -                    -
                             segment_length_ft        DOUBLE      989256     2645     10.013376054993406 1965.2452099191446   1264.5309883610016    252.6811965448117
                               segment_lt500ft       BOOLEAN      989256        2                      -                  -                    -                    -
                              segment_lt1000ft       BOOLEAN      989256        2                      -                  -                    -                    -
                                strictness_own        DOUBLE      989256       82     -3.445538716858031   1.92258614552904  0.07668047234381557   0.8204159979376459
                           strictness_neighbor        DOUBLE      989256       82     -3.445538716858031   1.92258614552904  0.07248390265386183   0.8198289296976533
                                          sign        DOUBLE      989256        2                   -1.0                1.0  0.00892387814680932   0.9999606868172414
                                 signed_dist_m        DOUBLE      989256   116193    -457.19856800930006 457.19358862893347     9.31790422017431   222.54939402237406
                                       dist_ft        DOUBLE      989256   127933    0.01696819839788562 1499.9953018677822    604.4161695577702   410.77091549618274
                                   signed_dist        DOUBLE      989256   106243    -1499.9953018677822  1499.978965318023    30.57055190344869    730.1489305196083
                                          year        DOUBLE      989256        9                 2014.0             2022.0   2017.2432201573708    2.649172354584484
                                    year_month       VARCHAR      989256      118                      -                  -                    -                    -
                                signed_dist_ft        DOUBLE      989256   106243    -1499.9953018677822  1499.978965318023    30.57055190344869    730.1489305196083
                                     ward_pair       VARCHAR      989256      149                      -                  -                    -                    -
                                         right       INTEGER      989256        2                      0                  1   0.5044619390734046   0.4999803434086206
                          building_type_factor       VARCHAR      989256        6                      -                  -                    -                    -
                                is_multifamily       INTEGER      989256        2                      0                  1   0.5961682314790104   0.4906647680655792
                              is_single_family       INTEGER      989256        2                      0                  1  0.17318873982063288  0.37841055081712205
                                      is_condo       INTEGER      989256        2                      0                  1   0.1690987974801265   0.3748393471894531
                                  is_townhouse       INTEGER      989256        2                      0                  1 0.015538950484000096  0.12368309086331838
                                      log_sqft        DOUBLE      631713     2542        5.4510384535657  8.699514748210191    6.823422170303207  0.40758050877118174
                                      log_beds        DOUBLE      863892        9                    0.0 2.0794415416798357   0.5497769437873985  0.45640678856222894
                                     log_baths        DOUBLE      982600       17    -0.6931471805599453 2.0794415416798357  0.22307984769842146  0.34521095611846186
                    flag_clean_location_sample       BOOLEAN      989256        2                      -                  -                    -                    -
              flag_no_modal_pair_change_sample       BOOLEAN      989256        2                      -                  -                    -                    -
              flag_no_modal_ward_change_sample       BOOLEAN      989256        2                      -                  -                    -                    -
           flag_no_questionable_address_sample       BOOLEAN      989256        2                      -                  -                    -                    -
                        nearest_school_dist_ft        DOUBLE      989256   104710      11.75439956381854  4852.786858867132    1426.711975058903    851.1312932431078
                          nearest_park_dist_ft        DOUBLE      989256   110475                    0.0  5724.261142159749    813.0510246692238    531.0227563068556
                    nearest_major_road_dist_ft        DOUBLE      989256   133582  0.0007651842853817326  1958.812163501459    347.8097231230558    285.0286803605444
                         lake_michigan_dist_ft        DOUBLE      989256   136688       42.0480812491453  56297.65308841926    8631.980358597128    7944.723148888774
                      nearest_cta_stop_dist_ft        DOUBLE      989256   121544    0.16702613997913607  24023.77813230284    2644.006620930119    2712.876833103076
                        nearest_cta_station_id       VARCHAR      989256      129                      -                  -                    -                    -
                      nearest_cta_station_name       VARCHAR      989256      119                      -                  -                    -                    -
                             nearest_cta_lines       VARCHAR      989256       23                      -                  -                    -                    -
                       nearest_school_dist_kft        DOUBLE      989256   102449    0.01175439956381854  4.852786858867132    1.426711975059089    0.851131293243109
                         nearest_park_dist_kft        DOUBLE      989256   109958                    0.0  5.724261142159749   0.8130510246700509   0.5310227563068584
                   nearest_major_road_dist_kft        DOUBLE      989256   129674  7.651842853817326e-07  1.958812163501459  0.34780972312330155  0.28502868036053947
                     nearest_cta_stop_dist_kft        DOUBLE      989256   125371 0.00016702613997913608  24.02377813230284    2.644006620929943    2.712876833103043
                        lake_michigan_dist_kft        DOUBLE      989256   123138   0.042048081249145296  56.29765308841926     8.63198035860468    7.944723148888865
