File: rental_rd_characteristics_panel_bw1500.parquet
Rows: 989256
Columns: 113
SHA-256 (saved bytes): 27c0c760e7f21b75eeb851ca69ba52443608c28a443c0c4eaf8882c107757ba1
Key: rent_panel_id
Types: Stored Parquet schema.
Distinct counts: approximate (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                                        column inferred_type non_missing distinct                    min                max                 mean                   sd
                                 rent_panel_id       VARCHAR      989256  1031175                      -                  -                    -                    -
                                  analysis_key       VARCHAR      989256   394872                      -                  -                    -                    -
                                    key_source       VARCHAR      989256        1                      -                  -                    -                    -
                                   property_id       VARCHAR           0        0                      -                  -                    -                    -
                                       unit_id       VARCHAR           0        0                      -                  -                    -                    -
                                  property_key       VARCHAR      989256   173644                      -                  -                    -                    -
                                 floorplan_key       VARCHAR      989256   394872                      -                  -                    -                    -
                                  address_norm       VARCHAR      912326   137501                      -                  -                    -                    -
                               address_missing       INTEGER      989256        2                      0                  1  0.07776551266810613  0.26780237154401204
                                   month_start          DATE      989256       96                      -                  -                    -                    -
                           first_observed_date          DATE      989256     2407                      -                  -                    -                    -
                           first_observed_rent        DOUBLE      989256     9418                  490.0            16713.0   1985.3185894348883    993.1342259784822
                                   active_days       INTEGER      989256       29                      1                 31   3.4735963188497214    4.331951628262033
                          distinct_daily_rents       INTEGER      989256       24                      1                 24   1.5490651560364557   1.6298898762167138
                               multi_rent_days        DOUBLE      989256       30                    0.0               30.0   0.6129323451159255    2.395424967381883
                         same_rent_repeat_days        DOUBLE      989256       32                    0.0               31.0   0.3199707659089255    1.812855355547788
                                raw_rows_month        DOUBLE      989256      552                    1.0             1795.0    5.862601793671203   16.991861077593427
                                            id       VARCHAR      989256  1107278                      -                  -                    -                    -
                                    rent_price        DOUBLE      989256   250813      581.1620284598174  19336.59893573796   2273.7653326651957   1120.9783308571527
                                 building_type       VARCHAR      962430       15                      -                  -                    -                    -
                           building_type_clean       VARCHAR      989256        6                      -                  -                    -                    -
                                          beds        DOUBLE      989256       10                    0.0                8.0   1.6768814139110604   1.0365441606662595
                                         baths        DOUBLE      986672       16                    0.0                8.0    1.330328467819093    0.550307199418539
                                          sqft        DOUBLE      631713     2517                  233.0             6000.0   1000.3885593616088     442.708989553746
                                       laundry       INTEGER      989256        2                      0                  1   0.4892211924921355  0.49988405646378614
                                           gym       INTEGER      989256        2                      0                  1   0.1891916753600686   0.3916610018866708
                                       doorman       INTEGER      989256        2                      0                  1   0.1345667855438835  0.34126043353393853
                                     furnished       INTEGER      989256        2                      0                  1  0.04178190478501015  0.20009052373509503
                                          pool       INTEGER      989256        2                      0                  1  0.16363711718705776  0.36994614393492037
                                    year_built        DOUBLE        6512       49                 1866.0             2017.0    1998.325552825553   25.912514901242517
                                available_date          DATE       31428      715                      -                  -                    -                    -
                                     file_date          DATE      989256       96                      -                  -                    -                    -
                                      latitude        DOUBLE      989256    89974          41.6579208374         42.0195051    41.89625626601347  0.06005232595047138
                                     longitude        DOUBLE      989256    74387            -87.8451499 -87.54263999999999   -87.65142190226302  0.03718206454683159
                                modal_latitude        DOUBLE      912326    51524               41.63051          42.038322    41.89508193579487 0.059775493692475944
                               modal_longitude        DOUBLE      912326    37348         -87.8461914062          -87.54264   -87.65075999265673  0.03711936731204705
flag_geometry_uses_address_location_correction       BOOLEAN      989256        2                      -                  -                    -                    -
                    flag_location_questionable       BOOLEAN      989256        2                      -                  -                    -                    -
                       location_quality_status       VARCHAR      989256        5                      -                  -                    -                    -
                               assignment_date          DATE      989256     2407                      -                  -                    -                    -
                              renthub_latitude        DOUBLE      989256   105401              41.636475          42.043514   41.896241850276496  0.06010944260685107
                             renthub_longitude        DOUBLE      989256    75578              -88.09281          -87.54263   -87.65145583893725  0.03723103568306259
                                 boundary_year       INTEGER      989256        2                   2003               2015   2012.5147383488197    4.862780916599845
                                          ward        DOUBLE      989256       54                    1.0               50.0   26.726610705419024   17.596041586673703
                                 neighbor_ward        DOUBLE      989256       54                    1.0               50.0    25.26146821449655    17.03335992196917
                                  ward_pair_id       VARCHAR      989256      149                      -                  -                    -                    -
                                        dist_m        DOUBLE      989256   127308   0.005171906871675538 457.19856800930006   184.22604848115503   125.20297504323716
                flag_modal_sensitivity_checked       BOOLEAN      989256        2                      -                  -                    -                    -
                                    modal_ward       INTEGER      912302       45                      1                 50    26.42334007817587    17.60854071153087
                           modal_neighbor_ward       INTEGER      912302       45                      1                 50   24.999316015968397    17.05157090039291
                            modal_ward_pair_id       VARCHAR      912302      149                      -                  -                    -                    -
                                  modal_dist_m        DOUBLE      912302    99992   0.005171906871675538 2475.2666806011334   184.97778722713286    128.4505797809396
                                 modal_dist_ft        DOUBLE      912302    91165    0.01696819839788562  8120.953676512904    606.8825040260557   421.42578668287734
                 flag_modal_assignment_missing       BOOLEAN      989256        2                      -                  -                    -                    -
                       flag_modal_changes_ward       BOOLEAN      989256        2                      -                  -                    -                    -
              flag_modal_changes_neighbor_ward       BOOLEAN      989256        2                      -                  -                    -                    -
                       flag_modal_changes_pair       BOOLEAN      989256        2                      -                  -                    -                    -
                  flag_modal_dist_diff_gt100ft       BOOLEAN      989256        2                      -                  -                    -                    -
                 flag_rd_location_questionable       BOOLEAN      989256        2                      -                  -                    -                    -
                                    month_join        DOUBLE      989256      118                 2014.0 2022.9166666666667   2017.7318694559012   2.6622327347226014
                                  alderman_own       VARCHAR      989256       79                      -                  -                    -                    -
                             alderman_neighbor       VARCHAR      989256       79                      -                  -                    -                    -
                     flag_missing_own_alderman       BOOLEAN      989256        1                      -                  -                    -                    -
                flag_missing_neighbor_alderman       BOOLEAN      989256        1                      -                  -                    -                    -
                  flag_missing_alderman_lookup       BOOLEAN      989256        1                      -                  -                    -                    -
                               rent_year_month       VARCHAR      989256      118                      -                  -                    -                    -
                  rent_price_cpi_chi_all_items        DOUBLE      989256      104                225.027            278.415   238.26533413423698   14.504507013720966
                   rent_price_deflator_to_2022        DOUBLE      989256      108      0.981829582936743  1.214770153507505   1.1511829130654714  0.06428474665315671
                            rent_price_nominal        DOUBLE      989256    14287                  490.0            16713.0   1983.2915024801464    991.1243666808294
                                    segment_id       VARCHAR      989256     2756                      -                  -                    -                    -
                                segment_reason       VARCHAR      989256        1                      -                  -                    -                    -
                           analysis_segment_id       VARCHAR      989256     2756                      -                  -                    -                    -
                                 valid_segment       BOOLEAN      989256        1                      -                  -                    -                    -
                                invalid_reason       VARCHAR      989256        1                      -                  -                    -                    -
                             segment_length_ft        DOUBLE      989256     2645     10.013376054993406 1965.2452099191446   1264.5309883608625   252.68119654480878
                               segment_lt500ft       BOOLEAN      989256        2                      -                  -                    -                    -
                              segment_lt1000ft       BOOLEAN      989256        2                      -                  -                    -                    -
                                strictness_own        DOUBLE      989256       79     -3.445576092831627 1.9225985930911895  0.07658382860665573   0.8203649372432525
                           strictness_neighbor        DOUBLE      989256       79     -3.445576092831627 1.9225985930911895  0.07243664280646758   0.8198156270011645
                                          sign        DOUBLE      989256        2                   -1.0                1.0  0.00892387814680932   0.9999606868172607
                                 signed_dist_m        DOUBLE      989256   116193    -457.19856800930006 457.19358862893347    9.317904220174002   222.54939402238074
                                       dist_ft        DOUBLE      989256   127933    0.01696819839788562 1499.9953018677822    604.4161695577681   410.77091549617273
                                   signed_dist        DOUBLE      989256   106243    -1499.9953018677822  1499.978965318023    30.57055190344849    730.1489305196101
                                          year        DOUBLE      989256        9                 2014.0             2022.0   2017.2432201573708    2.649172354584484
                                    year_month       VARCHAR      989256      118                      -                  -                    -                    -
                                signed_dist_ft        DOUBLE      989256   106243    -1499.9953018677822  1499.978965318023    30.57055190344849    730.1489305196101
                                     ward_pair       VARCHAR      989256      149                      -                  -                    -                    -
                                         right       INTEGER      989256        2                      0                  1   0.5044619390734046   0.4999803434086306
                          building_type_factor       VARCHAR      989256        6                      -                  -                    -                    -
                                is_multifamily       INTEGER      989256        2                      0                  1   0.5961682314790104   0.4906647680655827
                              is_single_family       INTEGER      989256        2                      0                  1  0.17318873982063288   0.3784105508171076
                                      is_condo       INTEGER      989256        2                      0                  1   0.1690987974801265   0.3748393471894494
                                  is_townhouse       INTEGER      989256        2                      0                  1 0.015538950484000096   0.1236830908633208
                                      log_sqft        DOUBLE      631713     2542        5.4510384535657  8.699514748210191    6.823422170303254  0.40758050877116786
                                      log_beds        DOUBLE      863892        9                    0.0 2.0794415416798357   0.5497769437874088  0.45640678856223016
                                     log_baths        DOUBLE      982600       17    -0.6931471805599453 2.0794415416798357  0.22307984769842107   0.3452109561184598
                    flag_clean_location_sample       BOOLEAN      989256        2                      -                  -                    -                    -
              flag_no_modal_pair_change_sample       BOOLEAN      989256        2                      -                  -                    -                    -
              flag_no_modal_ward_change_sample       BOOLEAN      989256        2                      -                  -                    -                    -
           flag_no_questionable_address_sample       BOOLEAN      989256        2                      -                  -                    -                    -
                        nearest_school_dist_ft        DOUBLE      989256   104710      11.75439956381854  4852.786858867132   1426.7119750589059    851.1312932430889
                          nearest_park_dist_ft        DOUBLE      989256   110475                    0.0  5724.261142159749    813.0510246692354    531.0227563068539
                    nearest_major_road_dist_ft        DOUBLE      989256   133582  0.0007651842853817326  1958.812163501459    347.8097231230555   285.02868036054576
                         lake_michigan_dist_ft        DOUBLE      989256   136688       42.0480812491453  56297.65308841926    8631.980358597086    7944.723148888788
                      nearest_cta_stop_dist_ft        DOUBLE      989256   121544    0.16702613997913607  24023.77813230284   2644.0066209302076    2712.876833103013
                        nearest_cta_station_id       VARCHAR      989256      129                      -                  -                    -                    -
                      nearest_cta_station_name       VARCHAR      989256      119                      -                  -                    -                    -
                             nearest_cta_lines       VARCHAR      989256       23                      -                  -                    -                    -
                       nearest_school_dist_kft        DOUBLE      989256   102449    0.01175439956381854  4.852786858867132   1.4267119750590815   0.8511312932430906
                         nearest_park_dist_kft        DOUBLE      989256   109958                    0.0  5.724261142159749   0.8130510246700285   0.5310227563068641
                   nearest_major_road_dist_kft        DOUBLE      989256   129674  7.651842853817326e-07  1.958812163501459  0.34780972312331604    0.285028680360542
                     nearest_cta_stop_dist_kft        DOUBLE      989256   125371 0.00016702613997913608  24.02377813230284   2.6440066209299298    2.712876833103019
                        lake_michigan_dist_kft        DOUBLE      989256   123138   0.042048081249145296  56.29765308841926     8.63198035860469    7.944723148888925
