File: chicago_rent_panel_location_corrections.parquet
Rows: 1436620
Columns: 13
SHA-256 (saved bytes): d16422995b2b0accf1c708cd2f71c015aa232b2ea19cf7e622e52ea93e86902b
Key: rent_panel_id
Types: Stored Parquet schema.
Distinct counts: approximate (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                                        column inferred_type non_missing distinct        min        max               mean                  sd
                                 rent_panel_id       VARCHAR     1436620  1569088          -          -                  -                   -
                                          year       INTEGER     1436620       10       2014       2022 2017.1452513538723   2.645934977147431
                             geometry_latitude        DOUBLE     1436620   106900 41.5605147   42.08648  41.89778895226176 0.06386001733810627
                            geometry_longitude        DOUBLE     1436620    90778  -88.09321   -87.5249   -87.649061501354 0.03934881473867294
                                modal_latitude        DOUBLE     1321581    79412 41.5605147   42.08648  41.89650997779574 0.06360736961351815
                               modal_longitude        DOUBLE     1321581    45215  -88.06559 -87.525406 -87.64838429822792 0.03921338129970185
flag_geometry_uses_address_location_correction       BOOLEAN     1436620        2          -          -                  -                   -
                 flag_manual_location_verified       BOOLEAN     1436620        2          -          -                  -                   -
                  flag_manual_location_exclude       BOOLEAN     1436620        1          -          -                  -                   -
                flag_address_location_unstable       BOOLEAN     1436620        2          -          -                  -                   -
             flag_coordinate_only_generic_pile       BOOLEAN     1436620        2          -          -                  -                   -
                    flag_location_questionable       BOOLEAN     1436620        2          -          -                  -                   -
                       location_quality_status       VARCHAR     1436620        5          -          -                  -                   -
