File: building_permits_for_verification.gpkg
Rows: 833465
Columns: 11
SHA-256 (saved bytes): 1def8bc4670f7107153abe654087719e89c0b46933d24f8ce8f6f9a36565b271
Key: id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: approximate (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                column inferred_type non_missing distinct                min                max               mean                  sd
                   fid        BIGINT      833465   857267                  1             833465           416733.0   240600.7653925897
                    id       VARCHAR      833465   772411                  -                  -                  -                   -
                permit       VARCHAR      833465   976107                  -                  -                  -                   -
                   pin       VARCHAR      391009   166208                  -                  -                  -                   -
           permit_type       VARCHAR      833465       12                  -                  -                  -                   -
         permit_status       VARCHAR      511472        7                  -                  -                  -                   -
application_start_date       VARCHAR      833465     7929                  -                  -                  -                   -
            issue_date       VARCHAR      833465     6986                  -                  -                  -                   -
      work_description       VARCHAR      832593   729151                  -                  -                  -                   -
             longitude        DOUBLE      833465   349956 -87.94022499291826 -87.52467708496278 -87.67142683964266 0.05685645325452407
              latitude        DOUBLE      833465   330207  41.64467013219805  42.02281295956641 41.868885204433575 0.08349084679345065
