File: rent_pre_scores_full.parquet
Rows: 1434871
Columns: 70
SHA-256 (saved bytes): 0ce255d56027c0d7c5bd91512fc024eb5eb8cc4e41fb5b655349a6fa9b6929a4
Key: rent_panel_id
Types: Stored Parquet schema.
Distinct counts: approximate (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                                        column inferred_type non_missing distinct                  min                max                 mean                   sd
                                 rent_panel_id       VARCHAR     1434871  1569088                    -                  -                    -                    -
                                  analysis_key       VARCHAR     1434871   512432                    -                  -                    -                    -
                                    key_source       VARCHAR     1434871        1                    -                  -                    -                    -
                                   property_id       VARCHAR           0        0                    -                  -                    -                    -
                                       unit_id       VARCHAR           0        0                    -                  -                    -                    -
                                  property_key       VARCHAR     1434871   215292                    -                  -                    -                    -
                                 floorplan_key       VARCHAR     1434871   512432                    -                  -                    -                    -
                                  address_norm       VARCHAR     1320204   189676                    -                  -                    -                    -
                               address_missing       INTEGER     1434871        2                    0                  1   0.0799145010248308  0.27116088359970525
                                   month_start          DATE     1434871       96                    -                  -                    -                    -
                           first_observed_date          DATE     1434871     2622                    -                  -                    -                    -
                           first_observed_rent        DOUBLE     1434871    10952                490.0            16713.0   1971.0895160679947   1024.1539762509635
                                   active_days       INTEGER     1434871       29                    1                 31   3.4943677863724334    4.318484429212254
                          distinct_daily_rents       INTEGER     1434871       26                    1                 25   1.5503818810192693    1.618100133538088
                               multi_rent_days        DOUBLE     1434871       32                  0.0               31.0   0.6155403517110597   2.3615780248977996
                         same_rent_repeat_days        DOUBLE     1434871       32                  0.0               31.0   0.3179770167492409   1.7996957032464584
                                raw_rows_month        DOUBLE     1434871      553                  1.0             1795.0   5.7940135384992795   15.806166492912098
                                            id       VARCHAR     1434871  1327405                    -                  -                    -                    -
                                    rent_price        DOUBLE     1434871   350134    581.1620284598174  19336.59893573796    2262.053017827284   1161.2084676372951
                                 building_type       VARCHAR     1396011       17                    -                  -                    -                    -
                           building_type_clean       VARCHAR     1434871        6                    -                  -                    -                    -
                                          beds        DOUBLE     1434871       10                  0.0                8.0   1.6208871738295638   1.0477770335659788
                                         baths        DOUBLE     1431091       18                  0.0                8.0   1.3189397809084118   0.5459695059984967
                                          sqft        DOUBLE      922281     2761                233.0             6000.0    983.3199176823549    440.1588036816564
                                       laundry       INTEGER     1434871        2                    0                  1  0.48570498672006057   0.4997957849809508
                                           gym       INTEGER     1434871        2                    0                  1  0.19186393759439002   0.3937667775539815
                                       doorman       INTEGER     1434871        2                    0                  1  0.13200768570833196  0.33849924147232946
                                     furnished       INTEGER     1434871        2                    0                  1 0.043216428515176625  0.20334403762749736
                                          pool       INTEGER     1434871        2                    0                  1  0.17577608021905802   0.3806296767356632
                                    year_built        DOUBLE        9865       67               1866.0             2017.0   1993.6003041054232   31.301649934695035
                                available_date          DATE       43087      849                    -                  -                    -                    -
                                     file_date          DATE     1434871       96                    -                  -                    -                    -
                                      latitude        DOUBLE     1434871   135968           41.6449348           42.02293    41.89777029496661  0.06366782933391547
                                     longitude        DOUBLE     1434871   102341             -87.9264           -87.5249   -87.64896243035001  0.03908890855616326
                                modal_latitude        DOUBLE     1320204    72730             41.63051          42.038322   41.896479480508496  0.06345933045259208
                               modal_longitude        DOUBLE     1320204    45215             -87.9264         -87.525406   -87.64831161285589 0.039046826071328006
flag_geometry_uses_address_location_correction       BOOLEAN     1434871        2                    -                  -                    -                    -
                    flag_location_questionable       BOOLEAN     1434871        2                    -                  -                    -                    -
                       location_quality_status       VARCHAR     1434871        5                    -                  -                    -                    -
                               assignment_date          DATE     1434871     2622                    -                  -                    -                    -
                              renthub_latitude        DOUBLE     1434871   144760            41.573035          42.043514    41.89775985084305  0.06370813560177373
                             renthub_longitude        DOUBLE     1434871    89354            -88.09281           -87.5249    -87.6489986122673 0.039135565128050054
                                 boundary_year       INTEGER     1434871        2                 2003               2015    2012.230518980452    5.056062196326585
                                           era       VARCHAR     1434871        2                    -                  -                    -                    -
                                          ward        DOUBLE     1434871       54                  1.0               50.0   29.498708246246526    17.32405621033763
                                 neighbor_ward        DOUBLE     1434871       54                  1.0               50.0     24.9838013312695   17.710957978063973
                                  ward_pair_id       VARCHAR     1434871      149                    -                  -                    -                    -
                                        dist_m        DOUBLE     1434871   152769 0.005171906871675538  8572.922632431482    366.1286927947893    343.2083676176942
                flag_modal_sensitivity_checked       BOOLEAN     1434871        2                    -                  -                    -                    -
                                    modal_ward       INTEGER      914805       45                    1                 50   26.383296986789535   17.614813785056686
                           modal_neighbor_ward       INTEGER      914805       45                    1                 50   24.970801427626654   17.053872872470563
                            modal_ward_pair_id       VARCHAR      914805      149                    -                  -                    -                    -
                                  modal_dist_m        DOUBLE      914805    99992 0.005171906871675538 2475.2666806011334   184.96034334990648   128.43672395846937
                                 modal_dist_ft        DOUBLE      914805    91165  0.01696819839788562  8120.953676512904    606.8252734577214    421.3803279477235
                 flag_modal_assignment_missing       BOOLEAN     1434871        2                    -                  -                    -                    -
                       flag_modal_changes_ward       BOOLEAN     1434871        2                    -                  -                    -                    -
              flag_modal_changes_neighbor_ward       BOOLEAN     1434871        2                    -                  -                    -                    -
                       flag_modal_changes_pair       BOOLEAN     1434871        2                    -                  -                    -                    -
                  flag_modal_dist_diff_gt100ft       BOOLEAN     1434871        2                    -                  -                    -                    -
                 flag_rd_location_questionable       BOOLEAN     1434871        2                    -                  -                    -                    -
                                    month_join        DOUBLE     1434871      118               2014.0 2022.9166666666667   2017.6313367196412   2.6601384451422225
                                  alderman_own       VARCHAR     1433440       82                    -                  -                    -                    -
                             alderman_neighbor       VARCHAR     1432729       82                    -                  -                    -                    -
                     flag_missing_own_alderman       BOOLEAN     1434871        2                    -                  -                    -                    -
                flag_missing_neighbor_alderman       BOOLEAN     1434871        2                    -                  -                    -                    -
                  flag_missing_alderman_lookup       BOOLEAN     1434871        2                    -                  -                    -                    -
                               rent_year_month       VARCHAR     1434871      118                    -                  -                    -                    -
                  rent_price_cpi_chi_all_items        DOUBLE     1434871      104              225.027            278.415   237.86715960843884   14.292207436948122
                   rent_price_deflator_to_2022        DOUBLE     1434871      108    0.981829582936743  1.214770153507505   1.1530004418015698  0.06341535145585574
                            rent_price_nominal        DOUBLE     1434871    16287                490.0            16713.0   1969.1534202917892   1022.1224612718835
